Chemical,Species,Conc,Reference
Boron,Oncorhynchus mykiss,2.1,1
Boron,Ictalurus punctatus,2.4,1
Boron,Micropterus salmoides,4.1,1
Boron,Brachydanio rerio,10,1
Boron,Carassius auratus,15.6,1
Boron,Pimephales promelas,18.3,1
Boron,Daphnia magna,6,1
Boron,Opercularia bimarginata,10,1
Boron,Ceriodaphnia dubia,13.4,1
Boron,Entosiphon sulcatum,15,1
Boron,Chironomus decorus,20,1
Boron,Paramecium caudatum,20,1
Boron,Rana pipiens,20.4,1
Boron,Bufo fowleri,48.6,1
Boron,Bufo americanus,50,1
Boron,Ambystoma jeffersonianum,70.7,1
Boron,Ambystoma maculatum,70.7,1
Boron,Rana sylvatica ,70.7,1
Boron,Elodea canadensis,1,1
Boron,Spirodella polyrrhiza,1.8,1
Boron,Chlorella pyrenoidosa,2,1
Boron,Phragmites australis,4,1
Boron,Chlorella vulgaris,5.2,1
Boron,Selenastrum capricornutum,12.3,1
Boron,Scenedesmus subpicatus,30,1
Boron,Myriophyllum spicatum,34.2,1
Boron,Anacystis nidulans,50,1
Boron,Lemna minor ,60,1
Cadmium,Oncorhynchus mykiss,0.23,2
Cadmium,Salvelinus confluentus,0.83,2
Cadmium,Cottus bairdi,0.96,2
Cadmium,Salmo salar,0.99,2
Cadmium,Acipenser transmont anus,1.14,2
Cadmium,Prosopium williamsoni,1.25,2
Cadmium,Salmo trutta,1.36,2
Cadmium,Salvelinus fontinalis,2.23,2
Cadmium,Oncorhynchus tshawytscha,2.29,2
Cadmium,Pimephales promelas,2.36,2
Cadmium,Catostomus commersoni,7.75,2
Cadmium,Oncorhynchus kisutch,7.81,2
Cadmium,Salvelinus namaycush,8.03,2
Cadmium,Esox lucius,8.03,2
Cadmium,Daphnia magna,0.05,2
Cadmium,Ceriodaphnia reticulata,0.12,2
Cadmium,Hyalella azteca,0.12,2
Cadmium,Hydra viridissima,0.87,2
Cadmium,Chironomus tentans,0.96,2
Cadmium,Echinogammarus meridionalis,1.3,2
Cadmium,Atyae phyra desmarestii,1.32,2
Cadmium,Gammarus pulex,1.86,2
Cadmium,Daphnia pulex,2.07,2
Cadmium,Ceriodaphnia dubia,4.9,2
Cadmium,Lampsilis siliquoidea,5.12,2
Cadmium,Aeolosoma headleyi,14.7,2
Cadmium,Lymnaea stagnalis,18.9,2
Cadmium,Chironomus riparius,27.1,2
Cadmium,Lymnaea palustris,58.2,2
Cadmium,Rhithrogena hageni,2659,2
Cadmium,Erythemis simplicicollis,48400,2
Cadmium,Pachydiplax longipennis,76500,2
Cadmium,Ambystoma gracile,106,2
Cadmium,Ankistrodesmus falcatus,4.9,2
Cadmium,Pseudokirchneriella subcapitata,19.8,2
Cadmium,Lemna minor,79,2
Chloride,Pimephales promelas Fathead minnow,598,3
